"category","title","level","description","starter_code","test_cases","hints","id","function_name"
"python-basics","String Sıkıştırma","beginner","Bir string'i sıkıştır: art arda tekrar eden karakterleri tek karaktere indir.
'aabbcc' → 'abc', 'aabba' → 'aba'","def compress(x: str) -> str:
    pass","[{""input"": ""aabbcc"", ""expected"": ""abc""}, {""input"": ""aabba"", ""expected"": ""aba""}, {""input"": ""abcdef"", ""expected"": ""abcdef""}]","[""💡 İpucu 1: Boş string durumunu kontrol et."", ""💡 İpucu 2: result = s[0] ile başla, sonraki karakter öncekinden farklıysa ekle."", ""💡 İpucu 3: itertools.groupby(s) ile de çözebilirsin.""]","20","compress"
"python-basics","Roman Numerals","intermediate","1-3999 arasındaki bir tam sayıyı Roma rakamlarına çevir.","def to_roman(n: int) -> str:
    pass","[{""input"": 3, ""expected"": ""III""}, {""input"": 58, ""expected"": ""LVIII""}, {""input"": 1994, ""expected"": ""MCMXCIV""}]","[""💡 İpucu 1: values ve symbols listesi zaten verilmiş, sırayla karşılaştır."", ""💡 İpucu 2: num >= value iken: result += symbol, num -= value"", ""💡 İpucu 3: CM=900, CD=400 gibi özel durumlar listeye dahil edilmiş, endişelenme.""]","21","to_roman"
"python-basics","Pangram Kontrolü","beginner","Bir cümle pangram mı? (İngiliz alfabesinin tüm harflerini içeriyor mu?","def is_pangram(x: str) -> bool:
    pass","[{""input"": ""The quick brown fox jumps over the lazy dog"", ""expected"": true}, {""input"": ""Hello World"", ""expected"": false}]","[""💡 İpucu 1: sentence.lower() ile küçük harfe çevir."", ""💡 İpucu 2: set() ile unique harfleri bul."", ""💡 İpucu 3: set('abcdefghijklmnopqrstuvwxyz').issubset(set(sentence.lower()))""]","22","is_pangram"
"python-basics","DNA Tamamlayıcısı","beginner","Bir DNA zincirinin tamamlayıcısını bul.
A↔T, C↔G  kuralını uygula ve sonucu tersine çevir.","def dna_complement(x: str) -> str:
    pass","[{""input"": ""ATCG"", ""expected"": ""CGAT""}, {""input"": ""TTAA"", ""expected"": ""TTAA""}]","[""💡 İpucu 1: Bir eşleşme dict'i oluştur: {'A':'T','T':'A','C':'G','G':'C'}"", ""💡 İpucu 2: Her karakteri eşleşme dict'inden bul: comp[c]"", ""💡 İpucu 3: Tamamlayıcıyı oluşturduktan sonra [::-1] ile tersine çevir.""]","25","dna_complement"
"data-structures","İki Listeyi Birleştir","beginner","İki sıralı listeyi birleştirerek yeni bir sıralı liste oluştur.
sort(","def merge_sorted(nums: dict) -> list[int]:
    pass","[{""input"": {""a"": [1, 3, 5], ""b"": [2, 4, 6]}, ""expected"": [1, 2, 3, 4, 5, 6]}, {""input"": {""a"": [1, 2], ""b"": [3, 4, 5, 6]}, ""expected"": [1, 2, 3, 4, 5, 6]}, {""input"": {""a"": [], ""b"": [1, 2, 3]}, ""expected"": [1, 2, 3]}]","[]","26","merge_sorted"
"list-dict","Sözlük Birleştirme","beginner","İki sözlüğü birleştir. Aynı anahtarlar varsa değerlerini topla.","def merge_dicts(x: dict) -> dict:
    pass","[{""input"": {""d1"": {""a"": 1, ""b"": 2}, ""d2"": {""b"": 3, ""c"": 4}}, ""expected"": {""a"": 1, ""b"": 5, ""c"": 4}}, {""input"": {""d1"": {}, ""d2"": {""x"": 10}}, ""expected"": {""x"": 10}}]","[""💡 İpucu 1: d1.copy() ile başla, d2'nin öğelerini üzerine ekle."", ""💡 İpucu 2: result.get(key, 0) + value ile birleştirme yap."", ""💡 İpucu 3: collections.Counter da bu iş için kullanılabilir.""]","27","merge_dicts"
"list-dict","Gruplama","beginner","Bir sayı listesini 'tek' ve 'çift' olarak grupla.
Sonuç: {'tek': [...], 'çift': [...]}","def group_by_parity(n: int, k: int, pos: int, threshold: int, count: int, n2: int) -> dict:
    pass","[{""input"": [1, 2, 3, 4, 5, 6], ""expected"": {""tek"": [1, 3, 5], ""çift"": [2, 4, 6]}}, {""input"": [10, 15, 20, 25], ""expected"": {""tek"": [15, 25], ""çift"": [10, 20]}}]","[""💡 İpucu 1: Boş bir dict oluştur: result = {'tek': [], 'çift': []}"", ""💡 İpucu 2: Her öğe için: if n % 2 == 0 → 'çift', else → 'tek'"", ""💡 İpucu 3: result['tek'].append(n) veya result['çift'].append(n)""]","28","group_by_parity"
"list-dict","Fark Listesi","beginner","İki liste arasındaki farkları bul: yalnızca A'da, yalnızca B'de ve ikisinde birden olan elemanlar.","def list_diff(nums: dict) -> dict:
    pass","[{""input"": {""a"": [1, 2, 3, 4], ""b"": [3, 4, 5, 6]}, ""expected"": {""only_a"": [1, 2], ""only_b"": [5, 6], ""common"": [3, 4]}, ""description"": ""tipik iki liste""}, {""input"": {""a"": [], ""b"": [1, 2]}, ""expected"": {""only_a"": [], ""only_b"": [1, 2], ""common"": []}, ""description"": ""boş A""}, {""input"": {""a"": [1, 2, 3], ""b"": [1, 2, 3]}, ""expected"": {""only_a"": [], ""only_b"": [], ""common"": [1, 2, 3]}, ""description"": ""tamamen ortak""}, {""input"": {""a"": [1, 1, 2], ""b"": [2, 2, 3]}, ""expected"": {""only_a"": [1], ""only_b"": [3], ""common"": [2]}, ""description"": ""tekrarlı elemanlar""}]","[""💡 İpucu 1: set() dönüşümü yap: sa=set(a), sb=set(b)"", ""💡 İpucu 2: only_a = sorted(sa - sb), only_b = sorted(sb - sa)"", ""💡 İpucu 3: common = sorted(sa & sb)  (kesişim)""]","29","list_diff"
"data-structures","Matris Çarpımı","intermediate","İki matrisi çarpan bir fonksiyon yaz. Sol matrisin sütun sayısı sağ matrisin satır sayısına eşit olmalıdır; sonuç matrisi (m x p) boyutunda olur. Standart iç-çarpım algoritması kullan.","def matrix_multiply(x: dict) -> list[list[int]]:
    pass","[{""input"": {""a"": [[1, 2], [3, 4]], ""b"": [[5, 6], [7, 8]]}, ""expected"": [[19, 22], [43, 50]], ""description"": ""2x2 * 2x2""}, {""input"": {""a"": [[1, 2, 3]], ""b"": [[4], [5], [6]]}, ""expected"": [[32]], ""description"": ""1x3 * 3x1""}, {""input"": {""a"": [[1, 0], [0, 1]], ""b"": [[5, 6], [7, 8]]}, ""expected"": [[5, 6], [7, 8]], ""description"": ""birim matris""}, {""input"": {""a"": [[0, 0], [0, 0]], ""b"": [[1, 2], [3, 4]]}, ""expected"": [[0, 0], [0, 0]], ""description"": ""sıfır matris""}]","[""💡 İpucu 1: Boyutlar: a = m×n, b = n×p → sonuç m×p"", ""💡 İpucu 2: Üç iç içe döngü: i (satır a), j (sütun b), k (ortak boyut)"", ""💡 İpucu 3: C[i][j] += A[i][k] * B[k][j]""]","30","matrix_multiply"
"list-dict","Stok Takibi","beginner","Bir mağazanın stok hareketlerini takip et.
Her hareket '+ürün:miktar' veya '-ürün:miktar' şeklinde.","def track_inventory(s: str, text: str, line: str) -> dict:
    pass","[{""input"": [""+elma:10"", ""-elma:3"", ""+armut:5""], ""expected"": {""elma"": 7, ""armut"": 5}}, {""input"": [""+kalem:100"", ""+kalem:50"", ""-kalem:30""], ""expected"": {""kalem"": 120}}]","[""💡 İpucu 1: Her harekette sign = m[0], geri kalanını ':' ile böl."", ""💡 İpucu 2: item, qty = m[1:].split(':'); qty = int(qty)"", ""💡 İpucu 3: sign=='+' ise ekle, '-' ise çıkar.""]","31","track_inventory"
"list-dict","Hareketli Ortalama","beginner","k elemanlı hareketli ortalama hesapla.
Yeterli eleman olmayan başlangıç pencerelerini atla.","def moving_average(x: dict) -> list[float]:
    pass","[{""input"": {""nums"": [1, 2, 3, 4, 5], ""k"": 3}, ""expected"": [2.0, 3.0, 4.0]}, {""input"": {""nums"": [10, 20, 30, 40], ""k"": 2}, ""expected"": [15.0, 25.0, 35.0]}]","[""💡 İpucu 1: range(k-1, len(nums)) ile kayan pencere için döngü kur."", ""💡 İpucu 2: Her adımda dilim: nums[i-k+1:i+1]"", ""💡 İpucu 3: sum(window)/k ile ortalmayı hesapla ve result'a ekle.""]","32","moving_average"
"data-structures","En Uzun Artan Alt Dizi","intermediate","Bir dizideki en uzun sürekli artan alt dizinin uzunluğunu bul.","def longest_increasing_subsequence(n: int, k: int, pos: int, threshold: int, count: int) -> int:
    pass","[{""input"": [1, 3, 5, 4, 7], ""expected"": 3}, {""input"": [2, 2, 2, 2, 2], ""expected"": 1}, {""input"": [1, 2, 3, 4, 5], ""expected"": 5}]","[""💡 İpucu 1: current ve max_len sayaçları tut."", ""💡 İpucu 2: nums[i] > nums[i-1] ise current += 1, değilse current = 1"", ""💡 İpucu 3: Her adımda max_len = max(max_len, current) güncelle.""]","33","longest_increasing_subsequence"
"data-structures","Fiyat Analizi","beginner","Ürün fiyatlarının bulunduğu bir sözlükten
min, max ve ortalama fiyatı döndür.","def price_analysis(x: dict) -> dict:
    pass","[{""input"": {""elma"": 5, ""armut"": 8, ""muz"": 3}, ""expected"": {""min"": 3, ""max"": 8, ""avg"": 5.33}, ""description"": ""3 ürün""}, {""input"": {""tek"": 10}, ""expected"": {""min"": 10, ""max"": 10, ""avg"": 10.0}, ""description"": ""tek ürün""}, {""input"": {""a"": 1, ""b"": 2, ""c"": 3, ""d"": 4, ""e"": 5}, ""expected"": {""min"": 1, ""max"": 5, ""avg"": 3.0}, ""description"": ""5 ürün""}, {""input"": {}, ""expected"": null, ""description"": ""boş sözlük, None veya hata""}]","[""💡 İpucu 1: values = list(prices.values()) ile değerleri al."", ""💡 İpucu 2: min(), max() ve sum()/len() ile istatistikleri hesapla."", ""💡 İpucu 3: round(avg, 2) ile yuvarla.""]","34","price_analysis"
"data-structures","Kümülatif Toplam","beginner","Bir listenin kümülatif (birikimli) toplamını hesapla.
Her index i için sonuç[i] = input[0] + input[1] + ... + input[i].
Boş liste için boş liste döndür.","def cumulative_sum(a: int, b: int, arg2: int, arg3: int) -> list[int]:
    pass","[{""input"": [1, 2, 3, 4], ""expected"": [1, 3, 6, 10], ""description"": ""artan dizi""}, {""input"": [5, 5, 5, 5, 5], ""expected"": [5, 10, 15, 20, 25], ""description"": ""sabit değerler""}, {""input"": [10], ""expected"": [10], ""description"": ""tek eleman""}, {""input"": [], ""expected"": [], ""description"": ""boş liste""}]","[""💡 İpucu 1: Döngü başında running_total = 0 tut."", ""💡 İpucu 2: Her elemanda running_total += n, ardından result'a ekle."", ""💡 İpucu 3: itertools.accumulate(nums) de aynı sonucu verir.""]","35","cumulative_sum"
"pandas","Favori Renk Anketi","beginner","Bir anket sonucu sözlüğü veriliyor. En popüler rengi bul.
(pandas kullanmadan, saf Python ile yap","def favorite_color(x: dict) -> str:
    pass","[{""input"": {""A"": ""Mavi"", ""B"": ""Kırmızı"", ""C"": ""Mavi"", ""D"": ""Yeşil"", ""E"": ""Mavi""}, ""expected"": ""Mavi""}, {""input"": {""X"": ""Siyah"", ""Y"": ""Siyah""}, ""expected"": ""Siyah""}]","[""💡 İpucu 1: Boş bir dict oluştur: counts = {}"", ""💡 İpucu 2: Her değer için counts[color] = counts.get(color, 0) + 1"", ""💡 İpucu 3: max(counts, key=counts.get) ile en yüksek frekanslıyı bul.""]","36","favorite_color"
"pandas","Eksik Değer Doldurma","beginner","Bir sayı listesindeki None değerleri, listenin ortalamasıyla doldur.
(pandas kullanmadan, saf Python ile","def fill_missing(n: int, value: None, k: int, other: None, pos: int) -> list[int | float]:
    pass","[{""input"": [1, null, 3, null, 5], ""expected"": [1, 3.0, 3, 3.0, 5]}, {""input"": [10, null, 20], ""expected"": [10, 15.0, 20]}]","[""💡 İpucu 1: Önce sadece sayısal değerlerin ortalamasını hesapla."", ""💡 İpucu 2: nums = [x for x in numbers if x is not None]"", ""💡 İpucu 3: Ortalama = sum(nums) / len(nums); sonra None'ları bu değerle değiştir.""]","37","fill_missing"
"pandas","Satış Raporu","beginner","Satış verisini ürün bazında grupla, toplam satışı hesapla ve en çok satan ürünü döndür.","def top_selling_product(mapping: dict, data: dict, mapping2: dict) -> str:
    pass","[{""input"": [{""product"": ""A"", ""amount"": 100}, {""product"": ""B"", ""amount"": 200}, {""product"": ""A"", ""amount"": 150}], ""expected"": ""A"", ""description"": ""A toplam 250, B 200""}, {""input"": [{""product"": ""X"", ""amount"": 50}], ""expected"": ""X"", ""description"": ""tek ürün""}, {""input"": [{""product"": ""A"", ""amount"": 100}, {""product"": ""B"", ""amount"": 100}], ""expected"": ""A"", ""description"": ""beraberlikte ilk gelen""}, {""input"": [{""product"": ""K"", ""amount"": 5}, {""product"": ""L"", ""amount"": 5}, {""product"": ""M"", ""amount"": 10}], ""expected"": ""M"", ""description"": ""açık ara kazanan""}]","[""💡 İpucu 1: Bir dict ile ürün → toplam satış tut: totals = {}"", ""💡 İpucu 2: Her kayıt için totals[product] = totals.get(product, 0) + amount"", ""💡 İpucu 3: max(totals, key=totals.get) ile en yüksek satışlı ürünü bul.""]","38","top_selling_product"
"pandas","Günlük Ortalama","intermediate","Günlük veri sözlüğünden haftalık ortalama hesapla.
Her hafta 7 günlük gruplara böl ve ortalamasını al.","def weekly_average(x: dict) -> list[float]:
    pass","[{""input"": {""d1"": 10, ""d2"": 20, ""d3"": 30, ""d4"": 40, ""d5"": 50, ""d6"": 60, ""d7"": 70, ""d8"": 80}, ""expected"": [40.0, 80.0], ""description"": ""8 gün, 2 hafta""}, {""input"": {""d1"": 7, ""d2"": 7, ""d3"": 7, ""d4"": 7, ""d5"": 7, ""d6"": 7, ""d7"": 7}, ""expected"": [7.0], ""description"": ""tam 1 hafta""}, {""input"": {""d1"": 1, ""d2"": 2}, ""expected"": [1.5], ""description"": ""eksik gün""}, {""input"": {}, ""expected"": [], ""description"": ""boş veri""}]","[""💡 İpucu 1: Değerleri listeye al: values = list(daily_data.values())"", ""💡 İpucu 2: 7'şerlik gruplara böl: [values[i:i+7] for i in range(0, len(values), 7)]"", ""💡 İpucu 3: Her grubun ortalamasını al: sum(group)/len(group)""]","39","weekly_average"
"pandas","Korelasyon Analizi","intermediate","İki sayı listesi arasındaki Pearson korelasyonunu hesapla ve yorumla.
0.7+ güçlü, 0.4-0.7 orta, <0.4 zayıf.","def correlation_analysis(x: dict) -> dict:
    pass","[{""input"": {""x"": [1, 2, 3, 4, 5], ""y"": [2, 4, 6, 8, 10]}, ""expected"": {""correlation"": 1.0, ""strength"": ""güçlü""}}, {""input"": {""x"": [1, 2, 3, 4, 5], ""y"": [5, 4, 3, 2, 1]}, ""expected"": {""correlation"": -1.0, ""strength"": ""güçlü""}}]","[""💡 İpucu 1: Pearson formülü: r = Σ((xi-x̄)(yi-ȳ)) / √(Σ(xi-x̄)² · Σ(yi-ȳ)²)"", ""💡 İpucu 2: Önce x_bar = sum(x)/len(x), y_bar = sum(y)/len(y) hesapla."", ""💡 İpucu 3: abs(r) >= 0.7 → 'güçlü', >= 0.4 → 'orta', else → 'zayıf'""]","40","correlation_analysis"
"pandas","Tekrar Eden Satırlar","beginner","Bir listedeki tekrar eden öğeleri kaldır ve kaç tane kaldırıldığını döndür.
Sonuç: (temizlenmiş_liste, kaldırılan_sayısı","def remove_duplicates(n: int, k: int, pos: int, threshold: int, count: int, n2: int, n3: int) -> list[list[int]] | list[list[str]]:
    pass","[{""input"": [1, 2, 2, 3, 3, 3, 4], ""expected"": [[1, 2, 3, 4], 3]}, {""input"": [""a"", ""b"", ""a"", ""c""], ""expected"": [[""a"", ""b"", ""c""], 1]}]","[""💡 İpucu 1: seen = set() ile görülen öğeleri takip et."", ""💡 İpucu 2: Her öğe için: if item not in seen → ekle, else → sayacı artır."", ""💡 İpucu 3: Sonuç: [clean_list, removed_count]""]","41","remove_duplicates"
"pandas","Yaş Grubu Segmentasyonu","beginner","Yaş listesini gruplara ayır: 0-17 'Genç', 18-64 'Yetişkin', 65+ 'Yaşlı'.","def age_segment(n: int, k: int, pos: int, threshold: int, count: int) -> list[str]:
    pass","[{""input"": [15, 25, 70, 5, 45], ""expected"": [""Genç"", ""Yetişkin"", ""Yaşlı"", ""Genç"", ""Yetişkin""], ""description"": ""karışık yaşlar""}, {""input"": [0, 17, 18, 64, 65], ""expected"": [""Genç"", ""Genç"", ""Yetişkin"", ""Yetişkin"", ""Yaşlı""], ""description"": ""sınır değerler""}, {""input"": [100, 200], ""expected"": [""Yaşlı"", ""Yaşlı""], ""description"": ""çok yaşlılar""}, {""input"": [], ""expected"": [], ""description"": ""boş liste""}]","[""💡 İpucu 1: Her yaş için koşullu kontrol yap."", ""💡 İpucu 2: if age <= 17: 'Genç', elif age <= 64: 'Yetişkin', else: 'Yaşlı'"", ""💡 İpucu 3: List comprehension kullan: [segment(a) for a in ages]""]","42","age_segment"
